Class,TP,TN,FP,FN,Precision,Recall,F1
Class 1,86,710,1,3,0.98851,0.96629,0.97727
Class 2,82,713,5,0,0.94253,1.00000,0.97041
Class 3,106,693,1,0,0.99065,1.00000,0.99531
Class 4,118,677,4,1,0.96721,0.99160,0.97925
Class 5,94,706,0,0,1.00000,1.00000,1.00000
Class 6,102,691,3,4,0.97143,0.96226,0.96682
Class 7,102,698,0,0,1.00000,1.00000,1.00000
Class 8,95,697,1,7,0.98958,0.93137,0.95960
