iteration,error
5,0.7192244603863592
9,0.6697491547537119
13,0.5821804134870014
17,0.5654258304162849
21,0.5593789299751095
25,0.5116343013600984
29,0.49429272076827147
33,0.4762904940713392
37,0.4660614693824007
41,0.4408654656961649
45,0.459418090655935
49,0.38956224650786037
53,0.40552292875881024
57,0.28787296833377585
61,0.2058232721286717
65,0.2101933003700691
69,0.10814567364362124
73,0.12582624507733123
77,0.04953871671556062
81,0.03706993573648634
85,0.013727516288496486
89,0.008519127756102446
93,0.005123102117726738
97,0.004036723416242039
101,0.003154491151905505
105,0.002547061954411871
109,0.002069411677533905
113,0.0017521104170538093
117,0.001511166911830662
121,0.001405440272340104
125,0.0013066102322963494
129,0.0012296096066863674
133,0.001170404433921945
137,0.0010926287916553936
141,0.0010520027390999787
145,0.001015998173757188
149,0.0009753187731040048
153,0.000940181020722855
157,0.0009038432269202349
161,0.0008767941265757227
165,0.0008505826927352695
169,0.0008271723807967682
173,0.0008020045949547722
177,0.0007798776490322896
181,0.0007555776806143472
185,0.0007379821974787536
189,0.0007176145509643704
193,0.0007007540470660537
197,0.0006798076559940749
201,0.0006614298770999738
205,0.0006486068896331663
209,0.0006329717842886201
213,0.0006158836734617356
217,0.000604119455391417
221,0.0005930578522585727
225,0.0005796480670639416
229,0.0005667666180195927
233,0.0005604919693174442
237,0.0005462888305129659
241,0.0005375704200333043
245,0.0005278013639767334
249,0.0005169000821940198
253,0.0005071732142706138
257,0.0004974859717232756
261,0.0004902091533479959
265,0.0004802242136350183
269,0.000475072886764191
273,0.000465418310657497
277,0.0004574024515666017
281,0.0004513180952759825
285,0.0004428719096726479
289,0.00043669340253648265
293,0.0004280421491268103
297,0.0004213710516599129
301,0.0004164653657800027
305,0.0004113180584887669
309,0.00040425936600134747
313,0.00039880641607573005
317,0.00039456305297089515
321,0.00038806701894707044
325,0.00038116705417185354
329,0.00037559903304575646
333,0.00037096305564181405
337,0.00036673952233167703
341,0.00036077327379525773
345,0.00035535806954994025
349,0.00035242195779526373
353,0.0003479588277744566
357,0.00034357638412334804
361,0.00033925265954776114
365,0.0003335040168789172
369,0.0003304105569201529
373,0.00032610271172073334
377,0.0003221702020394399
381,0.00031807757365238747
385,0.0003147868309442117
389,0.0003108439649417107
393,0.0003078959805888411
397,0.00030406723274686604
401,0.0003001641243889452
405,0.0002976183436326367
409,0.000294416078242355
413,0.00029080356716704994
417,0.00028728390887689415
421,0.00028441226857624236
425,0.0002812507103699879
429,0.00027793757108584004
433,0.000274889117678502
437,0.0002727277871136181
441,0.0002698560950795566
445,0.0002672705862601791
449,0.00026465195644852343
453,0.0002609507579736203
457,0.0002588898314061312
461,0.00025653594584313066
465,0.0002534056452202899
469,0.000251886534350453
473,0.0002493310770948822
477,0.0002463402000557323
481,0.00024444419097307743
485,0.00024193125695948684
489,0.00023955989693297378
493,0.00023731201413794417
497,0.00023535100381422594
501,0.00023337244555887685
505,0.00023135994234225354
509,0.0002289789327480085
513,0.00022664525988064232
517,0.0002249679041409138
521,0.00022272968745007976
525,0.0002209059813971855
529,0.00022003747296434105
533,0.00021766139655920704
537,0.00021531438035189183
