network,Time,accuracy,class1_F1,class1_FN,class1_FP,class1_Precision,class1_Recall,class1_TN,class1_TP,class2_F1,class2_FN,class2_FP,class2_Precision,class2_Recall,class2_TN,class2_TP,class3_F1,class3_FN,class3_FP,class3_Precision,class3_Recall,class3_TN,class3_TP,class4_F1,class4_FN,class4_FP,class4_Precision,class4_Recall,class4_TN,class4_TP,class5_F1,class5_FN,class5_FP,class5_Precision,class5_Recall,class5_TN,class5_TP,class6_F1,class6_FN,class6_FP,class6_Precision,class6_Recall,class6_TN,class6_TP,class7_F1,class7_FN,class7_FP,class7_Precision,class7_Recall,class7_TN,class7_TP,class8_F1,class8_FN,class8_FP,class8_Precision,class8_Recall,class8_TN,class8_TP,f1_macro,iteration,matthews,precision_macro,recall_macro
networkB,45.24215269088745,0.1325,0.0,89,0,0.0,0.0,711,0,0.0,82,0,0.0,0.0,718,0,0.23399558498896247,0,694,0.1325,1.0,0,106,0.0,119,0,0.0,0.0,681,0,0.0,94,0,0.0,0.0,706,0,0.0,106,0,0.0,0.0,694,0,0.0,102,0,0.0,0.0,698,0,0.0,102,0,0.0,0.0,698,0,0.02924944812362031,152501,0.0,0.0165625,0.125
networkB_improv,46.68244481086731,0.9525,0.983050847457627,2,1,0.9886363636363636,0.9775280898876404,710,87,0.9820359281437125,0,3,0.9647058823529412,1.0,715,82,1.0,0,0,1.0,1.0,694,106,0.9696969696969697,7,0,1.0,0.9411764705882353,681,112,1.0,0,0,1.0,1.0,706,94,0.8724279835390947,0,31,0.7737226277372263,1.0,663,106,0.8791208791208792,22,0,1.0,0.7843137254901961,698,80,0.95,7,3,0.9693877551020408,0.9313725490196079,695,95,0.9545415759947854,152501,0.9469167510853197,0.9620565786035715,0.9542988543732099
networkA,44.789697885513306,0.1325,0.0,89,0,0.0,0.0,711,0,0.0,82,0,0.0,0.0,718,0,0.0,106,0,0.0,0.0,694,0,0.0,119,0,0.0,0.0,681,0,0.0,94,0,0.0,0.0,706,0,0.23399558498896247,0,694,0.1325,1.0,0,106,0.0,102,0,0.0,0.0,698,0,0.0,102,0,0.0,0.0,698,0,0.02924944812362031,152501,0.0,0.0165625,0.125
networkA_improv,51.101486682891846,0.9675,0.9832402234636872,1,2,0.9777777777777777,0.9887640449438202,709,88,0.9761904761904763,0,4,0.9534883720930233,1.0,714,82,1.0,0,0,1.0,1.0,694,106,0.9831932773109243,2,2,0.9831932773109243,0.9831932773109243,679,117,0.9946524064171123,1,0,1.0,0.9893617021276596,706,93,0.912280701754386,2,18,0.8524590163934426,0.9811320754716981,676,104,1.0,0,0,1.0,1.0,698,102,0.891304347826087,20,0,1.0,0.803921568627451,698,82,0.9676076791203341,152501,0.9633781217805635,0.970864805446896,0.9682965835601941
networkA_improv_fast,45.54212236404419,0.9875,0.9886363636363636,2,0,1.0,0.9775280898876404,711,87,0.9879518072289156,0,2,0.9761904761904762,1.0,716,82,0.9953051643192489,0,1,0.9906542056074766,1.0,693,106,0.9790794979079498,2,3,0.975,0.9831932773109243,678,117,1.0,0,0,1.0,1.0,706,94,0.9716981132075472,3,3,0.9716981132075472,0.9716981132075472,691,103,1.0,0,0,1.0,1.0,698,102,0.9801980198019802,3,1,0.99,0.9705882352941176,697,99,0.9878586207627507,152501,0.9857028894237274,0.9879428493756875,0.9878759644625288
