Class,TP,TN,FP,FN,Precision,Recall,F1
Class 1,89,710,1,0,0.98889,1.00000,0.99441
Class 2,81,718,0,1,1.00000,0.98780,0.99387
Class 3,106,694,0,0,1.00000,1.00000,1.00000
Class 4,113,681,0,6,1.00000,0.94958,0.97414
Class 5,94,706,0,0,1.00000,1.00000,1.00000
Class 6,101,693,1,5,0.99020,0.95283,0.97115
Class 7,102,698,0,0,1.00000,1.00000,1.00000
Class 8,100,686,12,2,0.89286,0.98039,0.93458
