Class,TP,TN,FP,FN,Precision,Recall,F1
Class 1,86,709,2,3,0.97727,0.96629,0.97175
Class 2,82,718,0,0,1.00000,1.00000,1.00000
Class 3,106,694,0,0,1.00000,1.00000,1.00000
Class 4,118,678,3,1,0.97521,0.99160,0.98333
Class 5,94,706,0,0,1.00000,1.00000,1.00000
Class 6,101,694,0,5,1.00000,0.95283,0.97585
Class 7,102,696,2,0,0.98077,1.00000,0.99029
Class 8,99,693,5,3,0.95192,0.97059,0.96117
