Class,TP,TN,FP,FN,Precision,Recall,F1
Class 1,88,709,2,1,0.97778,0.98876,0.98324
Class 2,82,715,3,0,0.96471,1.00000,0.98204
Class 3,106,693,1,0,0.99065,1.00000,0.99531
Class 4,118,680,1,1,0.99160,0.99160,0.99160
Class 5,94,705,1,0,0.98947,1.00000,0.99471
Class 6,104,683,11,2,0.90435,0.98113,0.94118
Class 7,102,698,0,0,1.00000,1.00000,1.00000
Class 8,87,698,0,15,1.00000,0.85294,0.92063
