iteration,error
5,0.601244279673891
9,0.5862625092321201
13,0.6399626542710539
17,0.5798539355209499
21,0.6661182239941706
25,0.5681049214195601
29,0.5801357323676045
33,0.578811780845434
37,0.5207232632521224
41,0.5437767379024645
45,0.6429915969525428
49,0.5812365127843301
53,0.6985036899846842
57,0.6316644520764487
61,0.5081610095154091
65,0.7220009769566831
69,0.6503744122380061
73,0.5751950877305798
77,0.5432950766275071
81,0.6182930226018539
85,0.6147089156227399
89,0.5417290805259939
93,0.4858157031374195
97,0.5090968191713238
101,0.5443284387447089
105,0.5418532617103154
109,0.5497330474581824
113,0.5269389493009428
117,0.5885814558947253
121,0.543698314157952
125,0.5390860032812966
129,0.5318254876848227
133,0.5950164475426374
137,0.5353614820216943
141,0.6016070360497456
145,0.5533897785795998
149,0.5290647128142636
153,0.5748207479066934
157,0.513504678191344
161,0.5413940292159303
165,0.5238754035882782
169,0.49835268856223786
173,0.5607593078377885
177,0.5460799170654365
181,0.509278826532947
185,0.52249966452867
189,0.5631694241932552
193,0.5579190354336289
197,0.5180840769883006
201,0.5657728052937303
205,0.5423501893432193
209,0.5327332048950817
213,0.5338102924342873
217,0.5356146807376589
221,0.5775554402494182
225,0.5495173875576362
229,0.5586346117692416
233,0.5318215097296135
237,0.5309598112819593
241,0.5141240194241798
245,0.5277155825135181
249,0.4974287778836886
253,0.5326521671878988
257,0.5408554763183429
261,0.6127160048582934
265,0.5383225088658585
269,0.5355113140883822
273,0.5326033623783403
277,0.529811252461354
281,0.5297945098802352
285,0.5821916601405397
289,0.612194210687136
293,0.53622242976105
297,0.5306710572576414
301,0.5771453727453153
305,0.5491652027204176
309,0.5224431186890184
313,0.5332100440706895
317,0.5616301929540812
321,0.5596506800891774
325,0.5490188333672393
329,0.5288660710327565
333,0.5345258043161066
337,0.6175355495508401
341,0.6227778455621085
345,0.5322875364232036
349,0.5364019352353151
353,0.5796798388575453
357,0.6232414978034384
361,0.5815913043479123
365,0.5301602411857763
369,0.5647609628788576
373,0.5093946653996839
377,0.5356960635346698
381,0.5403655281611041
385,0.5330849895853215
389,0.525649861201258
393,0.6047164060709633
397,0.5330192052812686
401,0.5509183226939252
405,0.5336917076490618
409,0.6164114427571474
413,0.5415538368875613
417,0.5364702403022257
421,0.6384235491756759
425,0.5654903559751514
429,0.526645244933828
433,0.4904105245619513
437,0.6700660290660868
441,0.5899681077970104
445,0.5485126093746155
449,0.681797181871122
453,0.5613400098609627
457,0.574180376011344
461,0.5452436998433656
465,0.5075094569462486
469,0.5596650517644773
473,0.5475468184327033
477,0.5439568334494075
481,0.5314478272346537
485,0.5217379055619766
489,0.5072925104467201
493,0.5275446389480063
497,0.5488789531885787
501,0.5380089589455732
505,0.6202894399355693
509,0.5810801758249464
513,0.5098493585077647
517,0.4910171528112067
521,0.5383345546498471
525,0.5168390326929573
529,0.5976460596334301
533,0.5255530316112335
537,0.4939125014461852
541,0.5234074130949111
545,0.547407190299313
549,0.5363851783990621
553,0.5583986379541319
557,0.5342220498703936
561,0.5549724129298785
565,0.549434942363505
569,0.5298663482398698
573,0.5310155001290782
577,0.5821464344919575
581,0.5492730545990345
585,0.5381721672935703
589,0.5327443370067675
593,0.5407034432674621
597,0.5300236861178502
601,0.5345799472125291
605,0.5969597688297061
609,0.5583655897870848
613,0.5094086754380467
617,0.490272255804202
621,0.5156018238775362
625,0.5586735178129311
629,0.5893833710132541
633,0.6505095400366767
637,0.6065997275937793
641,0.5595061233870032
645,0.6678877793995113
649,0.574816546308239
