-1.17376,-0.62628,0.528967,0.471974,-3.74977,2.1735,0.350146,-0.962206,-0.261023,-0.277006,-1.7468,1.306,-1.05339
-0.224454,0.622994,-1.64015,0.52539,-0.408542,1.45483,0.551975,2.86539,0.64557,2.63848,1.53101,0.504494,-0.165116
-0.433447,-0.406115,-1.98036,0.739153,2.69195,-0.6209,-0.103045,2.06232,-0.485354,1.14148,-1.86706,3.16054,0.0878259
-0.285019,-0.423086,0.883638,1.76869,-0.0732176,1.35144,2.18908,-0.281126,3.23562,0.23706,0.265554,-0.944833,2.16715
-0.751316,1.64799,-0.363367,1.44825,-1.50644,2.86646,-0.671917,1.82163,-0.487353,0.450685,0.128248,2.02561,-1.67826
1.39925,-1.66516,-1.0162,-1.54838,-2.20952,-0.355462,1.30226,0.390855,1.24921,3.38295,0.764351,0.324782,-1.18437
-2.28475,0.418978,0.265837,-0.0534208,-0.145085,0.557822,-0.268182,0.064513,-0.0722363,-0.22927,-0.0509208,-0.00967596,0.107567
1.66152,-0.768139,0.609848,0.548885,0.363202,-1.97839,1.08183,-0.629392,-0.204504,1.27532,-3.21539,-0.557127,0.682304
-1.10524,0.226019,1.45993,1.00542,-0.931725,0.531707,0.888392,-0.160843,0.716037,0.449702,-1.17057,0.0145005,0.574479
2.15575,-0.465548,-0.25059,0.0365393,0.0556918,-0.593867,0.25951,-0.036451,0.0639243,0.151388,0.0595952,0.0448426,-0.127295
1.36652,-0.666762,0.0302431,-0.0703911,0.0503051,-0.474006,0.175293,-0.38797,0.228253,0.277042,0.239896,0.239158,-0.349604
0.950325,-0.161962,-1.19966,-0.863509,-0.383913,0.671774,-0.527106,0.238296,-0.380939,-0.105554,0.822603,0.341531,-0.846934
