Class,TP,TN,FP,FN,Precision,Recall,F1
Class 1,87,709,2,2,0.97753,0.97753,0.97753
Class 2,82,714,4,0,0.95349,1.00000,0.97619
Class 3,106,694,0,0,1.00000,1.00000,1.00000
Class 4,114,681,0,5,1.00000,0.95798,0.97854
Class 5,94,705,1,0,0.98947,1.00000,0.99471
Class 6,103,671,23,3,0.81746,0.97170,0.88793
Class 7,87,698,0,15,1.00000,0.85294,0.92063
Class 8,95,696,2,7,0.97938,0.93137,0.95477
