epoch,train_error,val_error,misclassified
1,0.8084360481283505,0.8674999638247298,10690
2,0.8754917680050884,0.8674999629735132,10681
3,0.8754917671751418,0.8674999620794074,10681
4,0.87549176630307,0.8674999611389125,10681
5,0.8754917653853937,0.8674999601481197,10681
6,0.8754917644182234,0.867499959102655,10681
7,0.8754917633971975,0.8674999579975985,10681
8,0.8754917623174014,0.8674999568274038,10681
9,0.8754917611732875,0.8674999555857827,10681
10,0.8754917599585553,0.867499954265584,10681
11,0.8754917586660148,0.8674999528586278,10681
12,0.8754917572874301,0.8674999513555188,10681
13,0.8754917558133158,0.8674999497453986,10681
14,0.875491754232675,0.8674999480156466,10681
15,0.8754917525326869,0.8674999461514962,10681
16,0.8754917506983084,0.8674999441355585,10681
17,0.8754917487117483,0.8674999419471964,10681
18,0.8754917465518086,0.867499939561706,10681
19,0.8754917441930035,0.867499936949256,10681
20,0.8754917416043939,0.867499934073451,10681
21,0.875491738748035,0.8674999308893923,10681
22,0.8754917355768119,0.8674999273410071,10681
23,0.8754917320314672,0.8674999233572603,10681
24,0.8754917280363385,0.8674999188467676,10681
25,0.8754917234931874,0.8674999136898278,10681
26,0.8754917182719478,0.867499907726329,10681
27,0.8754917121965584,0.8674999007370512,10681
28,0.8754917050223798,0.8674998924131638,10681
29,0.875491696398799,0.867499882304889,10681
30,0.8754916858043038,0.8674998697299398,10681
31,0.8754916724268127,0.8674998535998991,10681
32,0.875491654926733,0.8674998320633698,10681
33,0.8754916309217239,0.8674998016921285,10681
34,0.8754915957172666,0.8674997553431207,10681
35,0.87549153856784,0.8674996752527306,10681
36,0.8754914280554557,0.867499501688341,10681
37,0.875491110830067,0.8674988337775835,10681
38,0.8755034103984769,0.8674999925456544,10681
39,0.8754917950364649,0.867499992482611,10681
40,0.8754917949651985,0.8674999924184397,10681
41,0.8754917948926472,0.867499992353111,10681
42,0.8754917948187776,0.8674999922865925,10681
43,0.8754917947435493,0.8674999922188524,10681
44,0.8754917946669283,0.8674999921498544,10681
45,0.8754917945888758,0.8674999920795651,10681
46,0.8754917945093447,0.8674999920079459,10681
47,0.8754917944283003,0.8674999919349611,10681
48,0.8754917943456969,0.8674999918605667,10681
49,0.8754917942614848,0.8674999917847253,10681
50,0.8754917941756196,0.8674999917073921,10681
51,0.8754917940880532,0.8674999916285222,10681
52,0.8754917939987326,0.8674999915480709,10681
53,0.8754917939076048,0.8674999914659877,10681
54,0.8754917938146117,0.8674999913822239,10681
55,0.8754917937196993,0.8674999912967271,10681
56,0.8754917936228053,0.867499991209441,10681
57,0.8754917935238686,0.8674999911203092,10681
58,0.8754917934228202,0.8674999910292724,10681
59,0.8754917933195943,0.8674999909362684,10681
60,0.8754917932141183,0.8674999908412334,10681
61,0.8754917931063153,0.8674999907440989,10681
62,0.875491792996113,0.867499990644794,10681
63,0.8754917928834266,0.8674999905432463,10681
64,0.8754917927681723,0.8674999904393769,10681
65,0.875491792650259,0.867499990333105,10681
66,0.8754917925295964,0.8674999902243471,10681
67,0.8754917924060843,0.8674999901130122,10681
68,0.8754917922796177,0.8674999899990103,10681
69,0.875491792150095,0.867499989882242,10681
70,0.8754917920174049,0.8674999897626052,10681
71,0.8754917918814198,0.8674999896399929,10681
72,0.8754917917420233,0.8674999895142921,10681
73,0.8754917915990839,0.8674999893853844,10681
74,0.8754917914524618,0.867499989253144,10681
75,0.8754917913020157,0.8674999891174402,10681
76,0.8754917911475888,0.8674999889781335,10681
77,0.8754917909890264,0.8674999888350792,10681
78,0.8754917908261581,0.8674999886881238,10681
79,0.875491790658803,0.8674999885371026,10681
80,0.8754917904867735,0.8674999883818458,10681
81,0.8754917903098726,0.8674999882221721,10681
82,0.8754917901278892,0.8674999880578886,10681
83,0.8754917899406003,0.8674999878887936,10681
84,0.8754917897477712,0.867499987714669,10681
85,0.8754917895491472,0.867499987535289,10681
86,0.8754917893444674,0.8674999873504093,10681
87,0.8754917891334507,0.8674999871597745,10681
88,0.8754917889157937,0.8674999869631074,10681
89,0.8754917886911805,0.8674999867601199,10681
90,0.8754917884592677,0.8674999865504976,10681
91,0.8754917882196989,0.8674999863339123,10681
92,0.8754917879720864,0.8674999861100069,10681
93,0.8754917877160132,0.8674999858784063,10681
94,0.8754917874510412,0.8674999856387029,10681
95,0.8754917871766943,0.8674999853904641,10681
96,0.8754917868924684,0.8674999851332243,10681
97,0.8754917865978198,0.8674999848664828,10681
98,0.8754917862921626,0.867499984589703,10681
99,0.8754917859748652,0.867499984302304,10681
100,0.8754917856452511,0.8674999840036627,10681
