epoch,train_error,val_error,misclassified
1,0.46585306889126504,0.4561752067503512,10686
2,0.4511066746979788,0.4467521959372584,10760
3,0.44919127507171897,0.4467521739697245,10737
4,0.44919122379223975,0.44675213078318876,10737
5,0.44919111388639954,0.4467520295539713,10737
6,0.4491908595793527,0.4467517500319211,10737
7,0.449190142263536,0.44675068096481924,10737
8,0.4492115370671128,0.4467142571609591,10735
9,0.44919111162831943,0.44675291982867343,10736
10,0.44919049397090455,0.446751572547803,10737
11,0.4491826450367168,0.44707686466243635,10735
12,0.4493497572083717,0.4467546526022441,10727
13,0.4491922528280597,0.44675324114124715,10734
14,0.4491913354679227,0.44675174706534404,10732
15,0.4491903626454279,0.44675014648820105,10732
16,0.44918931904390463,0.44674841164427803,10734
17,0.4491881867283069,0.44674650982835273,10734
18,0.449186944440259,0.4467444018806956,10734
19,0.4491855665929892,0.4467420403811231,10734
20,0.44918402200765645,0.44673936719244045,10734
21,0.44918227225907814,0.44673631016321963,10733
22,0.4491802694049595,0.4467327786815753,10734
23,0.44917795290240997,0.4467286575665175,10735
24,0.44917524534437714,0.44672379800075346,10735
25,0.4491717215581931,0.4467147754911123,10734
26,0.4478921805917907,0.44746290758175905,10672
27,0.4458196257913217,0.44647677703967836,10580
28,0.4490088600784569,0.4463136464209847,10714
29,0.4488880417769407,0.4460680601468276,10705
30,0.44889518294579805,0.4456715416253551,10643
31,0.44810869569102324,0.4447250832604211,10653
32,0.44702822429517286,0.4415964844353132,10514
33,0.4455248437479886,0.4340380254364844,10310
34,0.4279154333215373,0.415868636763903,9744
35,0.4127742300853012,0.40637404935192123,9289
36,0.40127787853210245,0.3936913652109849,9018
37,0.41587866122447403,0.4195284979474008,9338
38,0.4145242197882503,0.41718539614929695,9407
39,0.4119250679163127,0.4212244181734235,9394
40,0.7795080265162757,0.88875,10397
41,0.8740983606557376,0.88875,10664
42,0.8740983606557376,0.88875,10664
43,0.8740983606557376,0.88875,10664
44,0.8740983606557376,0.88875,10664
45,0.8740983606557376,0.88875,10664
46,0.8740983606557376,0.88875,10664
47,0.8740983606557376,0.88875,10664
48,0.8740983606557376,0.88875,10664
49,0.8740983606557376,0.88875,10664
50,0.8740983606557376,0.88875,10664
51,0.8740983606557376,0.88875,10664
52,0.8740983606557376,0.88875,10664
53,0.8740983606557376,0.88875,10664
54,0.8740983606557376,0.88875,10664
55,0.8740983606557376,0.88875,10664
56,0.8740983606557376,0.88875,10664
57,0.8740983606557376,0.88875,10664
58,0.8740983606557376,0.88875,10664
59,0.8740983606557376,0.88875,10664
60,0.8740983606557376,0.88875,10664
61,0.8740983606557376,0.88875,10664
62,0.8740983606557376,0.88875,10664
63,0.8740983606557376,0.88875,10664
64,0.8740983606557376,0.88875,10664
65,0.8740983606557376,0.88875,10664
66,0.8740983606557376,0.88875,10664
67,0.8740983606557376,0.88875,10664
68,0.8740983606557376,0.88875,10664
69,0.8740983606557376,0.88875,10664
70,0.8740983606557376,0.88875,10664
71,0.8740983606557376,0.88875,10664
72,0.8740983606557376,0.88875,10664
73,0.8740983606557376,0.88875,10664
74,0.8740983606557376,0.88875,10664
75,0.8740983606557376,0.88875,10664
76,0.8740983606557376,0.88875,10664
77,0.8740983606557376,0.88875,10664
78,0.8740983606557376,0.88875,10664
79,0.8740983606557376,0.88875,10664
80,0.8740983606557376,0.88875,10664
81,0.8740983606557376,0.88875,10664
82,0.8740983606557376,0.88875,10664
83,0.8740983606557376,0.88875,10664
84,0.8740983606557376,0.88875,10664
85,0.8740983606557376,0.88875,10664
86,0.8740983606557376,0.88875,10664
87,0.8740983606557376,0.88875,10664
88,0.8740983606557376,0.88875,10664
89,0.8740983606557376,0.88875,10664
90,0.8740983606557376,0.88875,10664
91,0.8740983606557376,0.88875,10664
92,0.8740983606557376,0.88875,10664
93,0.8740983606557376,0.88875,10664
94,0.8740983606557376,0.88875,10664
95,0.8740983606557376,0.88875,10664
96,0.8740983606557376,0.88875,10664
97,0.8740983606557376,0.88875,10664
98,0.8740983606557376,0.88875,10664
99,0.8740983606557376,0.88875,10664
100,0.8740983606557376,0.88875,10664
